sno   var   func  total   actual  factor  avg    num           file
      node  node  reruns  reruns  graph   iters  soln          name
      size  size                  iters              
---   ---   ---   ---     ---     ---     ---    ---           ---
382   1     1     4       0       3       0      NA            6s319r_bdd.blif
383   1     1     5       0       3       0      NA            6s319r_bdd.blif
384   1     1     10      0       3       0      NA            6s319r_bdd.blif
385   1     1     20      0       3       0      NA            6s319r_bdd.blif
386   1     5     1       0       0       0      NA            6s319r_bdd.blif
387   1     5     2       0       0       0      NA            6s319r_bdd.blif
388   1     5     3       0       0       0      NA            6s319r_bdd.blif
389   1     5     4       0       0       0      NA            6s319r_bdd.blif
390   1     5     5       0       0       0      NA            6s319r_bdd.blif
391   1     5     10      0       0       0      NA            6s319r_bdd.blif
392   1     5     20      0       0       0      NA            6s319r_bdd.blif
393   1     10    1       0       0       0      NA            6s319r_bdd.blif
394   1     10    2       0       0       0      NA            6s319r_bdd.blif
395   1     10    3       0       0       0      NA            6s319r_bdd.blif
396   1     10    4       0       0       0      NA            6s319r_bdd.blif
397   1     10    5       0       0       0      NA            6s319r_bdd.blif
398   1     10    10      0       0       0      NA            6s319r_bdd.blif
399   1     10    20      0       0       0      NA            6s319r_bdd.blif
400   5     1     1       0       4       0      NA            6s319r_bdd.blif
401   5     1     2       0       4       0      NA            6s319r_bdd.blif
402   5     1     3       0       4       0      NA            6s319r_bdd.blif
403   5     1     4       0       4       0      NA            6s319r_bdd.blif
404   5     1     5       0       4       0      NA            6s319r_bdd.blif
405   5     1     10      0       4       0      NA            6s319r_bdd.blif
406   5     1     20      0       4       0      NA            6s319r_bdd.blif
407   5     5     1       0       0       0      NA            6s319r_bdd.blif
408   5     5     2       0       0       0      NA            6s319r_bdd.blif
409   5     5     3       0       0       0      NA            6s319r_bdd.blif
410   5     5     4       0       0       0      NA            6s319r_bdd.blif
411   5     5     5       0       0       0      NA            6s319r_bdd.blif
412   5     5     10      0       0       0      NA            6s319r_bdd.blif
413   5     5     20      0       0       0      NA            6s319r_bdd.blif
414   5     10    1       0       0       0      NA            6s319r_bdd.blif
415   5     10    2       0       0       0      NA            6s319r_bdd.blif
416   5     10    3       0       0       0      NA            6s319r_bdd.blif
417   5     10    4       0       0       0      NA            6s319r_bdd.blif
418   5     10    5       0       0       0      NA            6s319r_bdd.blif
419   5     10    10      0       0       0      NA            6s319r_bdd.blif
420   5     10    20      0       0       0      NA            6s319r_bdd.blif
421   10    1     1       0       4       0      NA            6s319r_bdd.blif
422   10    1     2       0       4       0      NA            6s319r_bdd.blif
423   10    1     3       0       4       0      NA            6s319r_bdd.blif
424   10    1     4       0       4       0      NA            6s319r_bdd.blif
425   10    1     5       0       4       0      NA            6s319r_bdd.blif
426   10    1     10      0       4       0      NA            6s319r_bdd.blif
427   10    1     20      0       4       0      NA            6s319r_bdd.blif
428   10    5     1       0       0       0      NA            6s319r_bdd.blif
429   10    5     2       0       0       0      NA            6s319r_bdd.blif
430   10    5     3       0       0       0      NA            6s319r_bdd.blif
431   10    5     4       0       0       0      NA            6s319r_bdd.blif
432   10    5     5       0       0       0      NA            6s319r_bdd.blif
433   10    5     10      0       0       0      NA            6s319r_bdd.blif
434   10    5     20      0       0       0      NA            6s319r_bdd.blif
435   10    10    1       0       0       0      NA            6s319r_bdd.blif
436   10    10    2       0       0       0      NA            6s319r_bdd.blif
437   10    10    3       0       0       0      NA            6s319r_bdd.blif
