Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#1.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#60.asp |    FAILED |              0.0 |     1200.0 | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#1.asp |    FAILED |              1.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#60.asp |    FAILED |              0.0 |     1200.0 | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#7.asp |    FAILED |              1.0 |     1200.0 | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#1.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#60.asp |    FAILED |              1.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#130.A#48.c#.w#7.s#11.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#134.A#48.c#.w#9.s#40.asp |    FAILED |              1.0 |     1200.0 | 
 |                                    QBFEval2017_cycle_sched_12_2_1.sat |    FAILED |              0.0 |     1200.0 | 
 |                                    QBFEval2017_cycle_sched_2_10_1.sat |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_cycle_sched_4_4_2.sat |    FAILED |              1.0 |     1200.0 | 
 |                                     QBFEval2017_cycle_sched_6_6_2.sat |    FAILED |              0.0 |     1200.0 | 
 |                                          QBFEval2017_decomposition128 |      PASS |              1.0 |       41.0 | 
 |                                           QBFEval2017_driver_a10y.sat |    FAILED |              0.0 |     1200.0 | 
 |                                            QBFEval2017_driver_b8n.sat |    FAILED |              0.0 |     1200.0 | 
 |                                            QBFEval2017_driver_c9n.sat |    FAILED |              0.0 |     1200.0 | 
 |                                            QBFEval2017_driver_c9y.sat |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_eequery_query42_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                     QBFEval2017_eequery_query64_1344n |    FAILED |              0.0 |     1200.0 | 
 |                                                QBFEval2017_eijkbs3330 |    FAILED |              0.0 |     1200.0 | 
 |                                       QBFEval2017_ethernet-fixpoint-1 |    FAILED |              0.0 |     1200.0 | 
 |                                       QBFEval2017_ethernet-fixpoint-2 |    FAILED |              0.0 |     1200.0 | 
