Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_query52_query42_1344n                                     | MUS timed out                                       | 1038 / 0 / 686      | 964 / 0 / 686       | 2439 / 0 / 668       | 1.28 / 0.69 / 0.4      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_small-swap1-fixpoint-10                                   | MUS timed out                                       | 3126 / 0 / 1596     | 2466 / 0 / 1596     | 9031 / 0 / 4643      | 5.59 / 1.89 / 2.07     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt19_83_91                                              | MUS timed out                                       | 11134 / 67 / 8822   | 10655 / 34 / 8677   | 43580 / 69 / 30796   | 12.47 / 2.32 / 5.59    | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobsynthetic2_all_bit_differing_from_cycle  | MUS timed out                                       | 5347 / 0 / 2502     | 5147 / 0 / 2502     | 18581 / 0 / 3477     | 14.41 / 4.14 / 5.23    | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#60.asp                   | MUS timed out                                       | 5295 / 0 / 4181     | 5167 / 0 / 4181     | 15358 / 0 / 8996     | 3.16 / 2.01 / 0.6      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_sortnetsort9.AE.stepl.008                                 | MUS timed out                                       | 6443 / 0 / 1801     | 5259 / 0 / 1801     | 10778 / 0 / 2080     | 2.27 / 0.97 / 0.7      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt22_311_370                                            | MUS timed out                                       | 5263 / 6 / 3715     | 5003 / 6 / 3675     | 17706 / 24 / 10341   | 5.79 / 2.29 / 1.87     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_sortnetsort10.AE.stepl.012                                | MUS timed out                                       | 12261 / 0 / 3310    | 9993 / 0 / 3310     | 20492 / 0 / 3777     | 4.49 / 1.86 / 1.4      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt21_181_218                                            | MUS timed out                                       | 2698 / 0 / 1883     | 2522 / 0 / 1855     | 8712 / 0 / 5209      | 2.42 / 0.94 / 0.86     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_sortnetsort9.AE.stepl.007                                 | MUS timed out                                       | 5640 / 0 / 1577     | 4604 / 0 / 1577     | 9433 / 0 / 1821      | 3.48 / 2.22 / 0.7      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_rankfunc52_unsigned_64                                    | MUS timed out                                       | 3917 / 0 / 2331     | 3533 / 0 / 2331     | 10621 / 0 / 5108     | 3.03 / 1.59 / 0.95     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt47_290_340                                            | MUS timed out                                       | 5011 / 4 / 3453     | 4762 / 4 / 3418     | 16711 / 16 / 9206    | 6.71 / 1.87 / 2.64     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#60.asp                   | MUS timed out                                       | 7343 / 0 / 5751     | 7215 / 0 / 5751     | 21502 / 0 / 12175    | 4.85 / 1.7 / 1.66      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt53_296_346                                            | MUS timed out                                       | 5073 / 4 / 3486     | 4823 / 4 / 3451     | 16977 / 16 / 9340    | 5.98 / 1.86 / 2.26     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
