Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
QBFEval2017_query04_query25_1344n_kissat_output.qdimacs                                     | 0           | 945           | 441             | 0              | Yes      
QBFEval2017_query04_query42_1344n_kissat_output.qdimacs                                     | 0           | 1597          | 732             | 0              | Yes      
QBFEval2017_query05_query31_1344n_kissat_output.qdimacs                                     | 0           | 1413          | 597             | 0              | Yes      
QBFEval2017_query05_query42_1344n_kissat_output.qdimacs                                     | 0           | 1597          | 732             | 0              | Yes      
QBFEval2017_query06_query42_1344n_kissat_output.qdimacs                                     | 0           | 9342          | 3381            | 0              | Yes      
QBFEval2017_query07_query42_1344n_kissat_output.qdimacs                                     | 0           | 9170          | 3221            | 0              | Yes      
QBFEval2017_query08_query42_1344n_kissat_output.qdimacs                                     | 0           | 46996         | 9823            | 0              | Yes      
QBFEval2017_query09_query42_1344n_kissat_output.qdimacs                                     | 0           | 47008         | 9829            | 0              | Yes      
QBFEval2017_query10_query06_1344n_kissat_output.qdimacs                                     | 0           | 34786         | 7468            | 0              | Yes      
QBFEval2017_query10_query34_1344n_kissat_output.qdimacs                                     | 0           | 34682         | 7333            | 0              | Yes      
QBFEval2017_query10_query42_1344n_kissat_output.qdimacs                                     | 0           | 37016         | 8963            | 0              | Yes      
QBFEval2017_query10_query45_1344n_kissat_output.qdimacs                                     | 0           | 28847         | 4589            | 0              | Yes      
QBFEval2017_query11_query42_1344n_kissat_output.qdimacs                                     | 0           | 1780          | 1034            | 0              | Yes      
QBFEval2017_query15_query42_1344n_kissat_output.qdimacs                                     | 0           | 6500          | 2580            | 0              | Yes      
QBFEval2017_query21_query42_1344n_kissat_output.qdimacs                                     | 0           | 9186          | 3225            | 0              | Yes      
QBFEval2017_query23_query42_1344n_kissat_output.qdimacs                                     | 0           | 4602          | 961             | 0              | Yes      
QBFEval2017_query24_query42_1344n_kissat_output.qdimacs                                     | 0           | 1122          | 1025            | 0              | Yes      
QBFEval2017_query25_query42_1344n_kissat_output.qdimacs                                     | 0           | 1752          | 1026            | 0              | Yes      
QBFEval2017_query26_query42_1344n_kissat_output.qdimacs                                     | 0           | 1600          | 738             | 0              | Yes      
QBFEval2017_query27_query42_1344n_kissat_output.qdimacs                                     | 0           | 1596          | 730             | 0              | Yes      
QBFEval2017_query30_query42_1344n_kissat_output.qdimacs                                     | 0           | 5734          | 2708            | 0              | Yes      
QBFEval2017_query31_eequery_1344n_kissat_output.qdimacs                                     | 0           | 1375          | 891             | 0              | Yes      
QBFEval2017_query31_query42_1344n_kissat_output.qdimacs                                     | 0           | 1922          | 1182            | 0              | Yes      
QBFEval2017_query31_query50_1344n_kissat_output.qdimacs                                     | 0           | 1316          | 859             | 0              | Yes      
QBFEval2017_query33_query42_1344n_kissat_output.qdimacs                                     | 0           | 1956          | 1190            | 0              | Yes      
QBFEval2017_query33_query45_1344n_kissat_output.qdimacs                                     | 0           | 1336          | 867             | 0              | Yes      
QBFEval2017_query33_query51_1344n_kissat_output.qdimacs                                     | 0           | 1386          | 907             | 0              | Yes      
QBFEval2017_query33_query57_1344n_kissat_output.qdimacs                                     | 0           | 1929          | 1157            | 0              | Yes      
QBFEval2017_query34_query11_1344n_kissat_output.qdimacs                                     | 0           | 1353          | 875             | 0              | Yes      
QBFEval2017_query34_query42_1344n_kissat_output.qdimacs                                     | 0           | 1956          | 1190            | 0              | Yes      
QBFEval2017_query36_query25_1344n_kissat_output.qdimacs                                     | 0           | 1375          | 891             | 0              | Yes      
QBFEval2017_query36_query42_1344n_kissat_output.qdimacs                                     | 0           | 1910          | 1182            | 0              | Yes      
QBFEval2017_query42_query42_1344n_kissat_output.qdimacs                                     | 0           | 47348         | 10043           | 0              | Yes      
QBFEval2017_query42_query45_1344n_kissat_output.qdimacs                                     | 0           | 37384         | 5021            | 0              | Yes      
QBFEval2017_query42_query60_1344n_kissat_output.qdimacs                                     | 0           | 42078         | 9144            | 0              | Yes      
QBFEval2017_query44_query42_1344n_kissat_output.qdimacs                                     | 0           | 47348         | 10043           | 0              | Yes      
QBFEval2017_query45_query42_1344n_kissat_output.qdimacs                                     | 0           | 1752          | 1026            | 0              | Yes      
QBFEval2017_query48_exquery_1344n_kissat_output.qdimacs                                     | 0           | 6068          | 1957            | 0              | Yes      
QBFEval2017_query48_query42_1344n_kissat_output.qdimacs                                     | 0           | 47192         | 9935            | 0              | Yes      
QBFEval2017_query49_ntrivil_1344n_kissat_output.qdimacs                                     | 0           | 5854          | 2236            | 0              | Yes      
QBFEval2017_query49_query42_1344n_kissat_output.qdimacs                                     | 0           | 47190         | 9935            | 0              | Yes      
QBFEval2017_query50_query06_1344n_kissat_output.qdimacs                                     | 0           | 1612          | 913             | 0              | Yes      
QBFEval2017_query50_query42_1344n_kissat_output.qdimacs                                     | 0           | 1776          | 1026            | 0              | Yes      
QBFEval2017_query51_query42_1344n_kissat_output.qdimacs                                     | 0           | 1780          | 1034            | 0              | Yes      
QBFEval2017_query51_query57_1344n_kissat_output.qdimacs                                     | 0           | 1764          | 1001            | 0              | Yes      
QBFEval2017_query52_query25_1344n_kissat_output.qdimacs                                     | 0           | 1100          | 747             | 0              | Yes      
QBFEval2017_query52_query42_1344n_kissat_output.qdimacs                                     | 0           | 1771          | 1038            | 0              | Yes      
QBFEval2017_query54_query42_1344n_kissat_output.qdimacs                                     | 0           | 2092          | 1262            | 0              | Yes      
QBFEval2017_query54_query58_1344n_kissat_output.qdimacs                                     | 0           | 1842          | 1123            | 0              | Yes      
QBFEval2017_query55_query42_1344n_kissat_output.qdimacs                                     | 0           | 1867          | 1146            | 0              | Yes      
QBFEval2017_query57_query42_1344n_kissat_output.qdimacs                                     | 0           | 9519          | 3461            | 0              | Yes      
QBFEval2017_query58_query42_1344n_kissat_output.qdimacs                                     | 0           | 10652         | 3559            | 0              | Yes      
QBFEval2017_query60_query10_1344n_kissat_output.qdimacs                                     | 0           | 7279          | 2783            | 0              | Yes      
QBFEval2017_query60_query33_1344n_kissat_output.qdimacs                                     | 0           | 10016         | 3055            | 0              | Yes      
QBFEval2017_query60_query42_1344n_kissat_output.qdimacs                                     | 0           | 10652         | 3535            | 0              | Yes      
QBFEval2017_query60_query44_1344n_kissat_output.qdimacs                                     | 0           | 10654         | 3535            | 0              | Yes      
QBFEval2017_query60_query45_1344n_kissat_output.qdimacs                                     | 0           | 8184          | 2271            | 0              | Yes      
QBFEval2017_query64_query01_1344n_kissat_output.qdimacs                                     | 0           | 724           | 657             | 0              | Yes      
QBFEval2017_query64_query11_1344n_kissat_output.qdimacs                                     | 0           | 1925          | 1111            | 0              | Yes      
QBFEval2017_query64_query42_1344n_kissat_output.qdimacs                                     | 0           | 2540          | 1426            | 0              | Yes      
QBFEval2017_query71_query31_1344n_kissat_output.qdimacs                                     | 0           | 8629          | 2869            | 0              | Yes      
QBFEval2017_query71_query34_1344n_kissat_output.qdimacs                                     | 0           | 8698          | 2901            | 0              | Yes      
QBFEval2017_query71_query36_1344n_kissat_output.qdimacs                                     | 0           | 8648          | 2869            | 0              | Yes      
